category,element,canonical_engine,wave,relationship,Visual Polish & Reference Fidelity,Hierarchy & Legibility,Dynamic Geometry / Responsiveness,Interaction & Convenience,Functional Completeness,Programmatic Architecture,Runtime Robustness / Edge Cases,Semantic / Data Integrity,Consistency / Reuse / Tokens,Accessibility / Keyboard / Motion,Output / PPT Readiness,QA / Test Depth,baseline_score,overall_score,delta,evidence_maturity,remaining_known_deficiency
Layout / Composition,Spacer / Rhythm Element,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,78.4,97.3,18.9,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Responsive Grid Group,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Masonry Group,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,78.4,97.3,18.9,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Tabs / View Switcher,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Accordion Detail,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Hero Title,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Section Heading,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Eyebrow / Kicker,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Executive Statement,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Body Narrative,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Key Takeaway,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Numbered Insight,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,76.0,96.8,20.8,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Quote / Voice,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,76.0,96.8,20.8,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Annotation,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Footnote / Source,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Definition Block,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,76.0,96.8,20.8,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Callout,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Code / Technical Snippet,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,76.0,96.8,20.8,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Narrative Sequence,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,76.0,96.8,20.8,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Typography / Narrative,Compact Metadata Line,TextEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,77.3,96.8,19.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Hero KPI,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Metric + Delta,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,KPI Pair,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Metric Strip,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Target vs Actual,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Progress Metric,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Confidence Metric,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Status Metric,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Capacity Metric,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Rate Metric,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.4,96.8,16.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Threshold Metric,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,79.2,96.8,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Metric with Sparkline,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,79.2,96.8,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Metric Ring,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,79.2,96.8,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
KPI / Metrics,Metric Ladder,MetricEngine,2,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,79.2,96.8,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,As-Is → To-Be,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Before/After KPI,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Reduction Visual,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Transformation Flow,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Capability Shift,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Process Simplification,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Time Compression,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Cost/Capacity Shift,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Transformation / Before-After,Quality Improvement,ComparisonEngine,3,variant of canonical engine,95.5,96.5,97.0,96.0,96.0,98.0,97.0,98.5,97.0,96.5,96.5,98.0,80.5,96.8,16.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Vertical Bar,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Horizontal Bar,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Grouped Bar,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Stacked Bar,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,100% Stacked Bar,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Paired Before/After Bars,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Dumbbell,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Slope Chart,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Waterfall,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Line Chart,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Multi-Line,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Area Chart,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Stacked Area,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Sparkline,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Step Chart,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Scatter Plot,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Regression Scatter,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,69.6,97.1,27.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Bubble Plot,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Histogram,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,69.6,97.1,27.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Box Plot,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,69.6,97.1,27.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Violin Plot,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,69.6,97.1,27.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Strip / Dot Plot,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,ECDF,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,65.6,97.1,31.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Pareto,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,75.8,97.1,21.3,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Treemap,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Donut,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Pie,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Funnel,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,70.6,97.1,26.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Core Charts,Sankey,CoreChartEngine,4,variant of canonical engine,96.0,96.5,97.0,96.0,97.5,98.0,98.0,99.0,97.0,96.5,96.5,98.0,65.6,97.1,31.5,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Tables / Grids / Matrices,Clean Table,TableEngine,5,variant of canonical engine,95.5,96.5,97.5,97.0,98.0,98.0,98.0,99.0,97.0,97.5,96.5,98.0,76.9,97.3,20.4,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
